Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Map
Doomfist,OFFENSE,0.5,45.51,2.5,8.47,XBL,Silver,Horizon Lunar Colony
Reinhardt,TANK,10.02,48.03,3.02,7.03,XBL,Gold,Eichenwalde
Moira,SUPPORT,9.53,49.21,2.59,9.17,XBL,Gold,Route 66
D.Va,TANK,7.02,50.71,2.53,7.94,XBL,Gold,Hanamura
Mercy,SUPPORT,6.91,47.41,2.71,1.55,XBL,Gold,Tower
L�cio,SUPPORT,6.36,51.52,2.08,12.72,XBL,Gold,King's Row
Orisa,TANK,5.03,53.49,2.74,8.25,XBL,Gold,Horizon Lunar Colony
Baptiste,SUPPORT,4.78,46.81,2.51,10.78,XBL,Gold,Tower
Junkrat,DEFENSE,3.81,49.51,2.91,12.16,XBL,Gold,Hollywood
Zarya,TANK,3.67,46.37,2.41,7.9,XBL,Gold,Horizon Lunar Colony
Ana,SUPPORT,3.48,43.69,2.25,7.9,XBL,Gold,Hollywood
Reaper,OFFENSE,3.36,50.28,2.19,17.51,XBL,Gold,Horizon Lunar Colony
Zenyatta,SUPPORT,2.81,50.92,2.67,6.81,XBL,Gold,Tower
Roadhog,TANK,2.72,46.93,2.06,8.27,XBL,Gold,Eichenwalde
Wrecking Ball,TANK,2.65,48.68,2.45,2.82,XBL,Gold,Route 66
Hanzo,DEFENSE,2.63,46.36,2.75,12.26,XBL,Gold,Horizon Lunar Colony
Soldier: 76,OFFENSE,2.34,47.08,2.34,10.62,XBL,Gold,King's Row
Genji,OFFENSE,2.2,44.44,2.06,8.81,XBL,Gold,Hollywood
Brigitte,SUPPORT,2.05,52.8,2.1,11.36,XBL,Gold,Horizon Lunar Colony
Widowmaker,DEFENSE,2.05,44.72,2.03,7.42,XBL,Gold,Tower
Symmetra,SUPPORT,1.98,54.89,3.53,10.28,XBL,Gold,Tower
Ashe,OFFENSE,1.87,46.86,2.46,7.37,XBL,Gold,Lijiang
Torbj�rn,DEFENSE,1.75,55.91,3.01,9.5,XBL,Gold,Route 66
Mei,DEFENSE,1.71,49.12,2.69,10.72,XBL,Gold,Horizon Lunar Colony
McCree,OFFENSE,1.7,44.42,1.76,9.95,XBL,Gold,Eichenwalde
Winston,TANK,1.55,48.04,1.78,5.02,XBL,Gold,Lijiang
Sombra,OFFENSE,1.32,41.41,2.65,11.87,XBL,Gold,Dorado
Tracer,OFFENSE,1.29,44.55,1.87,8.13,XBL,Gold,Horizon Lunar Colony
Pharah,OFFENSE,1.26,47.71,2.55,9.09,XBL,Gold,Tower
Bastion,DEFENSE,1.11,48.38,3.08,15.06,XBL,Gold,King's Row
Doomfist,OFFENSE,1.05,45.74,1.66,7.23,XBL,Gold,King's Row
Reinhardt,TANK,10.73,50.26,2.74,7.55,XBL,Platinum,Route 66
Moira,SUPPORT,7.84,52.12,2.6,9.89,XBL,Platinum,Hollywood
L�cio,SUPPORT,5.91,52.48,2.42,13.49,XBL,Platinum,Lijiang
Mercy,SUPPORT,5.89,50.01,2.85,1.85,XBL,Platinum,Tower
D.Va,TANK,5.6,52.12,2.54,8.21,XBL,Platinum,Tower
Baptiste,SUPPORT,5.16,49.1,2.66,12,XBL,Platinum,Hanamura
Zarya,TANK,4.55,48.68,2.8,10.1,XBL,Platinum,Route 66
Ana,SUPPORT,4.17,48.12,2.44,9.35,XBL,Platinum,Dorado
Orisa,TANK,3.77,55.69,2.69,9.22,XBL,Platinum,Eichenwalde
Roadhog,TANK,3.69,50.25,2.05,10.02,XBL,Platinum,Hollywood
Hanzo,DEFENSE,3.31,48.37,2.22,14.09,XBL,Platinum,King's Row
Reaper,OFFENSE,3.17,51.56,2.39,17.5,XBL,Platinum,Route 66
Genji,OFFENSE,3.11,48.78,2.21,10.19,XBL,Platinum,King's Row
Junkrat,DEFENSE,3.09,52.49,3.09,12.23,XBL,Platinum,Hollywood
Wrecking Ball,TANK,3.06,50.99,1.88,3.22,XBL,Platinum,Route 66
Zenyatta,SUPPORT,2.82,53.3,2.34,6.99,XBL,Platinum,Lijiang
McCree,OFFENSE,2.72,47.5,2.05,11.33,XBL,Platinum,King's Row
Widowmaker,DEFENSE,2.43,48.58,2.09,9.2,XBL,Platinum,King's Row
Soldier: 76,OFFENSE,2.34,49.96,1.99,11.95,XBL,Platinum,Dorado
Ashe,OFFENSE,2.27,52.11,2.25,10.41,XBL,Platinum,Hollywood
Brigitte,SUPPORT,1.92,54.68,2.14,12.27,XBL,Platinum,Horizon Lunar Colony
Winston,TANK,1.65,48.55,1.65,5.77,XBL,Platinum,Route 66
Torbj�rn,DEFENSE,1.54,57.29,2.75,10.13,XBL,Platinum,Lijiang
Sombra,OFFENSE,1.5,45.42,2.37,14.55,XBL,Platinum,King's Row
Mei,DEFENSE,1.49,53.2,2.41,11.49,XBL,Platinum,Horizon Lunar Colony
Symmetra,SUPPORT,1.47,58.59,3.1,10.76,XBL,Platinum,King's Row
Tracer,OFFENSE,1.44,47.42,1.75,8.59,XBL,Platinum,Lijiang
Doomfist,OFFENSE,1.36,51.46,1.53,8.76,XBL,Platinum,Hollywood
Pharah,OFFENSE,1.19,48.24,2.17,10.92,XBL,Platinum,Eichenwalde
Bastion,DEFENSE,0.81,49.76,4.29,16.12,XBL,Platinum,Hollywood
Reinhardt,TANK,10.4,51.62,2.43,7.47,XBL,Diamond,Hollywood
L�cio,SUPPORT,5.94,53.45,2.05,13.81,XBL,Diamond,Tower
Mercy,SUPPORT,5.91,52.6,2.44,1.93,XBL,Diamond,Tower
Moira,SUPPORT,5.57,52.79,2.49,9.97,XBL,Diamond,Tower
Zarya,TANK,5.51,51.11,2.32,11.09,XBL,Diamond,King's Row
Baptiste,SUPPORT,5.29,51.27,2.4,12.77,XBL,Diamond,Hollywood
Ana,SUPPORT,4.77,50.91,2.29,10.09,XBL,Diamond,Eichenwalde
Roadhog,TANK,4.59,53.04,1.74,10.49,XBL,Diamond,King's Row
D.Va,TANK,4.47,53.44,1.99,7.56,XBL,Diamond,Tower
Hanzo,DEFENSE,3.74,50.92,2.27,14.3,XBL,Diamond,Tower
Genji,OFFENSE,3.61,50.24,2,10.73,XBL,Diamond,Hanamura
McCree,OFFENSE,3.54,49.61,2.16,11.3,XBL,Diamond,Lijiang
Orisa,TANK,3.45,57.18,2.43,9,XBL,Diamond,Tower
Wrecking Ball,TANK,3.31,53.51,1.5,3.43,XBL,Diamond,Tower
Widowmaker,DEFENSE,3.09,52.67,2.2,10.05,XBL,Diamond,Hanamura
Zenyatta,SUPPORT,2.76,54.08,2.28,6.51,XBL,Diamond,Horizon Lunar Colony
Soldier: 76,OFFENSE,2.64,52.56,1.88,11.41,XBL,Diamond,Hollywood
Reaper,OFFENSE,2.41,54.03,1.74,16.69,XBL,Diamond,Route 66
Ashe,OFFENSE,2.28,54.16,2.17,11.24,XBL,Diamond,Lijiang
Junkrat,DEFENSE,2.26,55.5,3.2,10.87,XBL,Diamond,Dorado
Brigitte,SUPPORT,1.85,57.63,2.23,11.89,XBL,Diamond,Tower
Sombra,OFFENSE,1.85,49.33,1.91,15.87,XBL,Diamond,Eichenwalde
Winston,TANK,1.79,48.36,1.5,5.46,XBL,Diamond,King's Row
Doomfist,OFFENSE,1.66,53.26,1.32,8.31,XBL,Diamond,Hollywood
Torbj�rn,DEFENSE,1.66,58.82,3.19,9.74,XBL,Diamond,Tower
Tracer,OFFENSE,1.6,49.49,1.68,8.87,XBL,Diamond,Hanamura
Symmetra,SUPPORT,1.25,60,2.41,9.23,XBL,Diamond,Tower
Mei,DEFENSE,1.15,54.71,2.48,10.18,XBL,Diamond,Hanamura
Pharah,OFFENSE,0.96,49.82,2.45,12.42,XBL,Diamond,King's Row
Bastion,DEFENSE,0.67,55.54,2.63,16.48,XBL,Diamond,Lijiang
Reinhardt,TANK,9.64,50.5,2.86,7.05,XBL,Master,Hollywood
Mercy,SUPPORT,7.63,51.5,2.07,2.2,XBL,Master,Eichenwalde
L�cio,SUPPORT,7.21,53.64,2.1,12.47,XBL,Master,Hanamura
Roadhog,TANK,6.14,52.47,2.06,10.5,XBL,Master,Horizon Lunar Colony
Baptiste,SUPPORT,5.93,51.12,2.03,13.54,XBL,Master,Tower
Zarya,TANK,5.41,48.47,2,11.14,XBL,Master,Route 66
Orisa,TANK,4.84,56.63,2.1,8.86,XBL,Master,Lijiang
Ana,SUPPORT,4.52,50.63,1.97,9.91,XBL,Master,Eichenwalde
Hanzo,DEFENSE,3.98,48.56,2.19,13.39,XBL,Master,Hanamura
Wrecking Ball,TANK,3.72,53.16,1.84,3.57,XBL,Master,Eichenwalde
McCree,OFFENSE,3.61,47.58,1.49,10.85,XBL,Master,Dorado
Widowmaker,DEFENSE,3.57,49.14,1.57,9.9,XBL,Master,Tower
D.Va,TANK,3.29,52.12,1.83,6.41,XBL,Master,Route 66
Genji,OFFENSE,3.12,49.53,1.99,9.83,XBL,Master,Dorado
Moira,SUPPORT,2.87,53.93,2.24,10.36,XBL,Master,Hanamura
Soldier: 76,OFFENSE,2.67,53.15,1.4,11.01,XBL,Master,Hanamura
Zenyatta,SUPPORT,2.52,55.29,1.73,6.06,XBL,Master,King's Row
Ashe,OFFENSE,2.14,52.04,2.62,10.74,XBL,Master,Hanamura
Torbj�rn,DEFENSE,1.94,53.91,1.39,9.3,XBL,Master,Dorado
Sombra,OFFENSE,1.89,50.9,2.63,15.67,XBL,Master,Route 66
Tracer,OFFENSE,1.84,49.54,2.14,7.78,XBL,Master,Dorado
Winston,TANK,1.8,48.06,1.96,5.75,XBL,Master,Lijiang
Doomfist,OFFENSE,1.49,55.62,1.82,9.29,XBL,Master,Hanamura
Symmetra,SUPPORT,1.39,55.52,2.83,8.4,XBL,Master,Eichenwalde
Reaper,OFFENSE,1.34,51.65,1.55,14.26,XBL,Master,Dorado
Junkrat,DEFENSE,1.32,54.87,3.14,8.4,XBL,Master,Lijiang
Brigitte,SUPPORT,1.27,56.76,1.8,11.4,XBL,Master,Tower
Mei,DEFENSE,1.21,54.31,2.74,8.69,XBL,Master,Hollywood
Pharah,OFFENSE,0.93,52.28,1.79,12.41,XBL,Master,Horizon Lunar Colony
Bastion,DEFENSE,0.78,54.86,1.6,14.53,XBL,Master,Hanamura
Mercy,SUPPORT,10.43,56.11,2.02,2.38,XBL,Grandmaster,Tower
Roadhog,TANK,9.24,59.6,1.63,13.77,XBL,Grandmaster,Tower
Orisa,TANK,7.14,60.54,2,12.99,XBL,Grandmaster,King's Row
L�cio,SUPPORT,6.21,57,1.45,15.45,XBL,Grandmaster,Route 66
Hanzo,DEFENSE,5.85,53.5,2.7,16.65,XBL,Grandmaster,Dorado
Reinhardt,TANK,5.61,51.97,1.21,8.86,XBL,Grandmaster,King's Row
Widowmaker,DEFENSE,4.25,56.5,1.95,11.61,XBL,Grandmaster,Tower
Baptiste,SUPPORT,3.89,53.65,1.93,13.59,XBL,Grandmaster,Hollywood
Wrecking Ball,TANK,3.79,54.16,2.18,4.84,XBL,Grandmaster,King's Row
Zarya,TANK,3.73,55.74,1.61,15.85,XBL,Grandmaster,King's Row
McCree,OFFENSE,3.63,54.93,1.24,14.17,XBL,Grandmaster,Hanamura
Soldier: 76,OFFENSE,3.3,59.03,1.59,14.21,XBL,Grandmaster,Dorado
Sombra,OFFENSE,3.24,55.34,2.32,19.55,XBL,Grandmaster,Lijiang
Ana,SUPPORT,3.21,55.85,1.87,11.95,XBL,Grandmaster,Hanamura
D.Va,TANK,3.01,53.96,2.25,9.1,XBL,Grandmaster,Tower
Ashe,OFFENSE,2.78,57.14,1.36,16.4,XBL,Grandmaster,Horizon Lunar Colony
Genji,OFFENSE,2.54,57.1,1.78,15.49,XBL,Grandmaster,Lijiang
Tracer,OFFENSE,2.27,49.66,1.32,10.36,XBL,Grandmaster,King's Row
Mei,DEFENSE,1.99,55.73,1.13,9.73,XBL,Grandmaster,Eichenwalde
Torbj�rn,DEFENSE,1.82,56.6,2.89,10.79,XBL,Grandmaster,Hanamura
Pharah,OFFENSE,1.56,55,3.38,15.34,XBL,Grandmaster,Eichenwalde
Bastion,DEFENSE,1.48,63.64,5.08,20.91,XBL,Grandmaster,King's Row
Doomfist,OFFENSE,1.46,53.65,1.03,10.39,XBL,Grandmaster,Hanamura
Moira,SUPPORT,1.37,60.34,1.65,13.48,XBL,Grandmaster,Eichenwalde
Zenyatta,SUPPORT,1.31,49.42,1.15,6.34,XBL,Grandmaster,Eichenwalde
Symmetra,SUPPORT,1.29,61.21,3.51,10.1,XBL,Grandmaster,Lijiang
Winston,TANK,1.27,48.5,1.18,7.02,XBL,Grandmaster,Eichenwalde
Junkrat,DEFENSE,0.88,59.29,3.42,9.1,XBL,Grandmaster,Hollywood
Brigitte,SUPPORT,0.79,50.96,0.95,11.55,XBL,Grandmaster,Hollywood
Reaper,OFFENSE,0.65,60,1.16,16.4,XBL,Grandmaster,Tower
Reinhardt,TANK,9.66,50.53,2.41,7.72,PC,All,Tower
Ana,SUPPORT,9.1,49.41,2.22,9.96,PC,All,Dorado
Moira,SUPPORT,6.13,50.83,2.34,9.69,PC,All,Horizon Lunar Colony
Mercy,SUPPORT,5.46,50.77,2.49,1.84,PC,All,Eichenwalde
Zarya,TANK,4.76,49.41,2.28,8.84,PC,All,Horizon Lunar Colony
D.Va,TANK,4.61,50.01,2.35,6.3,PC,All,Lijiang
L�cio,SUPPORT,4.35,51.17,1.97,11.68,PC,All,Route 66
Zenyatta,SUPPORT,4.13,53.14,2.13,6.06,PC,All,Dorado
Genji,OFFENSE,4.06,49.75,1.95,10.98,PC,All,Route 66
Roadhog,TANK,3.71,51.17,1.85,9.22,PC,All,Hanamura
Baptiste,SUPPORT,3.51,48.35,2.32,10.71,PC,All,Route 66
McCree,OFFENSE,3.47,46.51,1.7,10.04,PC,All,Hanamura
Hanzo,DEFENSE,3.41,48.64,2.15,12.73,PC,All,Tower
Winston,TANK,3.16,48.43,1.93,6.07,PC,All,King's Row
Wrecking Ball,TANK,3.1,51.94,2.01,2.96,PC,All,Tower
Orisa,TANK,2.91,54.69,2.34,7.9,PC,All,Hollywood
Widowmaker,DEFENSE,2.76,49.21,1.81,8.44,PC,All,Eichenwalde
Ashe,OFFENSE,2.62,52.13,2.07,9.65,PC,All,Lijiang
Soldier: 76,OFFENSE,2.34,50.36,1.85,10.05,PC,All,Horizon Lunar Colony
Reaper,OFFENSE,2.34,51.13,2.02,15.84,PC,All,Tower
Junkrat,DEFENSE,2.06,50.49,2.59,11.02,PC,All,Lijiang
Doomfist,OFFENSE,1.77,52.41,1.79,8.32,PC,All,King's Row
Brigitte,SUPPORT,1.72,55.36,2.14,11.93,PC,All,Hanamura
Tracer,OFFENSE,1.61,47.17,1.78,6.9,PC,All,Route 66
Pharah,OFFENSE,1.5,50.3,1.94,11.67,PC,All,Route 66
Torbj�rn,DEFENSE,1.42,57.13,2.68,9.15,PC,All,Dorado
Mei,DEFENSE,1.4,52.43,2.27,10.42,PC,All,King's Row
Sombra,OFFENSE,1.31,46.16,2.29,12.75,PC,All,Hollywood
Symmetra,SUPPORT,0.97,55.73,2.93,8.19,PC,All,Dorado
Bastion,DEFENSE,0.64,51.11,2.82,16.2,PC,All,Hollywood
Reinhardt,TANK,9.66,50.53,2.41,7.72,PC,Bronze,Horizon Lunar Colony
Reinhardt,TANK,8.67,47.41,2.24,7.36,PC,Bronze,Tower
Mercy,SUPPORT,8.19,46.6,2.66,1.3,PC,Bronze,Lijiang
D.Va,TANK,6.84,47.05,2.3,6.01,PC,Bronze,Hanamura
Ana,SUPPORT,4.85,43.41,2.26,7.39,PC,Bronze,Hollywood
L�cio,SUPPORT,4.54,48.01,2.17,10.6,PC,Bronze,Tower
Orisa,TANK,4.42,48.75,2.3,6.28,PC,Bronze,Horizon Lunar Colony
Junkrat,DEFENSE,4.21,46.69,1.65,11.75,PC,Bronze,Route 66
Reaper,OFFENSE,3.02,47.41,1.48,15.15,PC,Bronze,Hanamura
Baptiste,SUPPORT,2.99,44.71,2.52,7.59,PC,Bronze,Hollywood
Genji,OFFENSE,2.88,44.67,1.55,8.65,PC,Bronze,King's Row
Roadhog,TANK,2.83,45.56,1.96,6.54,PC,Bronze,Hollywood
Hanzo,DEFENSE,2.83,46.82,2.5,11.26,PC,Bronze,Hanamura
Soldier: 76,OFFENSE,2.73,43.86,1.69,9.5,PC,Bronze,Dorado
Zenyatta,SUPPORT,2.7,47.89,2.46,6.37,PC,Bronze,Hanamura
Brigitte,SUPPORT,2.54,55.35,2.25,11.99,PC,Bronze,Tower
Torbj�rn,DEFENSE,2.4,54.26,3.34,10.21,PC,Bronze,Dorado
Zarya,TANK,2.37,45.32,1.89,5.25,PC,Bronze,Horizon Lunar Colony
Wrecking Ball,TANK,2.32,46.84,2.19,2.85,PC,Bronze,Horizon Lunar Colony
Winston,TANK,2.24,44.55,1.38,4.56,PC,Bronze,Hollywood
Ashe,OFFENSE,2.21,45.98,1.82,6.71,PC,Bronze,Dorado
Pharah,OFFENSE,2.18,44.69,2.12,8.38,PC,Bronze,Tower
Mei,DEFENSE,2.09,44.18,1.99,10.59,PC,Bronze,Hanamura
Widowmaker,DEFENSE,2.04,43.74,1.74,6.65,PC,Bronze,Route 66
McCree,OFFENSE,2.03,41.85,1.45,10.59,PC,Bronze,Dorado
Bastion,DEFENSE,1.81,46.63,2.81,13.66,PC,Bronze,Hollywood
Symmetra,SUPPORT,1.71,51.25,2.52,8.6,PC,Bronze,Eichenwalde
Doomfist,OFFENSE,1.32,46.58,1.28,7.45,PC,Bronze,King's Row
Sombra,OFFENSE,1.28,38.92,1.93,8.62,PC,Bronze,Route 66
Tracer,OFFENSE,1,39.59,2.46,6.93,PC,Bronze,Horizon Lunar Colony
Moira,SUPPORT,8.77,47.85,2.43,8.43,PC,Silver,Hanamura
Moira,SUPPORT,9.04,48.4,2.37,9.05,PC,Silver,Dorado
Mercy,SUPPORT,7.1,48.54,2.79,1.5,PC,Silver,Eichenwalde
Ana,SUPPORT,6.7,46.71,2.18,8.22,PC,Silver,Hollywood
D.Va,TANK,6.02,48.75,2.65,6.52,PC,Silver,Eichenwalde
L�cio,SUPPORT,4.46,49.64,2.16,11.62,PC,Silver,Lijiang
Orisa,TANK,3.72,52.05,2.62,7.18,PC,Silver,Dorado
Junkrat,DEFENSE,3.7,47.9,2.6,12.04,PC,Silver,Horizon Lunar Colony
Zarya,TANK,3.48,46.56,2.25,6.32,PC,Silver,Horizon Lunar Colony
Reaper,OFFENSE,3.25,48.74,2.05,16.51,PC,Silver,Dorado
Zenyatta,SUPPORT,3.16,50.89,2.19,6.35,PC,Silver,Lijiang
Baptiste,SUPPORT,3.16,45.87,2.28,9.67,PC,Silver,Lijiang
Roadhog,TANK,3.1,47.23,1.85,7.83,PC,Silver,Hollywood
Genji,OFFENSE,2.87,46.68,2.27,9.41,PC,Silver,Dorado
Hanzo,DEFENSE,2.83,45.59,1.99,11.39,PC,Silver,Eichenwalde
Soldier: 76,OFFENSE,2.66,47.56,1.97,10.04,PC,Silver,King's Row
McCree,OFFENSE,2.44,45.08,1.88,9.65,PC,Silver,Horizon Lunar Colony
Wrecking Ball,TANK,2.42,50.29,2.09,2.49,PC,Silver,Dorado
Winston,TANK,2.41,44.88,1.93,5.09,PC,Silver,Eichenwalde
Ashe,OFFENSE,2.17,46.53,2.31,7.75,PC,Silver,Eichenwalde
Brigitte,SUPPORT,2.1,54.3,2.26,12.85,PC,Silver,Eichenwalde
Pharah,OFFENSE,1.99,46.38,1.77,10.56,PC,Silver,Dorado
Mei,DEFENSE,1.85,49.94,2.04,11.78,PC,Silver,Dorado
Widowmaker,DEFENSE,1.73,44.93,1.69,6.53,PC,Silver,Hanamura
Torbj�rn,DEFENSE,1.66,53.62,2.79,9.75,PC,Silver,Tower
Doomfist,OFFENSE,1.3,48.14,1.49,8.3,PC,Silver,King's Row
Symmetra,SUPPORT,1.28,53.56,3.49,9.07,PC,Silver,Hollywood
Bastion,DEFENSE,0.99,47.78,2.77,14.56,PC,Silver,Eichenwalde
Tracer,OFFENSE,0.98,42.23,1.77,6.55,PC,Silver,Hollywood
Sombra,OFFENSE,0.94,40.06,2.27,10.29,PC,Silver,Eichenwalde
Reinhardt,TANK,10.47,48.44,2.46,7.76,PC,Gold,Tower
Ana,SUPPORT,8.29,47.49,2.26,9.28,PC,Gold,Hollywood
